course_title,course_organization,course_Certificate_type,course_rating,course_difficulty,course_students_enrolled
Foundations of Global Health,Johns Hopkins University,SPECIALIZATION,4.7,Beginner,31000.0
Essentials in Clinical Simulations Across the Health Professions,The George Washington University,COURSE,4.8,Intermediate,4100.0
Robotics,University of Pennsylvania,SPECIALIZATION,4.4,Beginner,120000.0
Operating Systems and You: Becoming a Power User,Google,COURSE,4.6,Beginner,76000.0
R Programming,Johns Hopkins University,COURSE,4.6,Intermediate,480000.0
In the Studio: Postwar Abstract Painting,The Museum of Modern Art,COURSE,4.9,Beginner,79000.0
Essentials of Global Health,Yale University,COURSE,4.8,Mixed,31000.0
Practical Data Science with MATLAB,MathWorks,SPECIALIZATION,4.7,Beginner,10000.0
Machine Learning with Python,IBM,COURSE,4.7,Intermediate,120000.0
American Contract Law I,Yale University,COURSE,4.9,Beginner,18000.0
Oil & Gas Industry Operations and Markets,Duke University,COURSE,4.8,Mixed,57000.0
Advanced Machine Learning with TensorFlow on Google Cloud Platform,Google Cloud,SPECIALIZATION,4.5,Advanced,35000.0
Marketing Digital,Universidad Austral,SPECIALIZATION,4.7,Beginner,39000.0
Arts and Heritage Management,Università Bocconi,COURSE,4.8,Mixed,15000.0
Introducción a la programación en Python I: Aprendiendo a programar con Python,Pontificia Universidad Católica de Chile,COURSE,4.4,Beginner,100000.0
Supporting children with difficulties in reading and writing,UCL Institute of Education,COURSE,4.8,Mixed,50000.0
"HTML, CSS, and Javascript for Web Developers",Johns Hopkins University,COURSE,4.8,Mixed,240000.0
Addiction Treatment: Clinical Skills for Healthcare Providers,Yale University,COURSE,4.8,Beginner,9200.0
Réussir le Changement,ESSEC Business School,COURSE,4.5,Mixed,33000.0
SQL for Data Science,"University of California, Davis",COURSE,4.6,Beginner,160000.0
"Modern Robotics:  Mechanics, Planning, and Control",Northwestern University,SPECIALIZATION,4.7,Intermediate,21000.0
"Speak English Professionally: In Person, Online & On the Phone",Georgia Institute of Technology,COURSE,4.6,Mixed,430000.0
Medical Cannabis: The Health Effects of THC and CBD,University of Colorado Boulder,SPECIALIZATION,4.8,Beginner,4800.0
Introduction to Corporate Finance,University of Pennsylvania,COURSE,4.6,Mixed,130000.0
Foundational Finance for Strategic Decision Making,University of Michigan,SPECIALIZATION,4.8,Beginner,14000.0
Developing APIs with Google Cloud's Apigee API Platform,Google Cloud,SPECIALIZATION,4.6,Intermediate,16000.0
Introduction to Spreadsheets and Models,University of Pennsylvania,COURSE,4.2,Mixed,76000.0
Introduction to Mathematical Thinking,Stanford University,COURSE,4.8,Intermediate,270000.0
Negociación exitosa: Estrategias y habilidades esenciales (en español),University of Michigan,COURSE,4.8,Mixed,95000.0
Drug Discovery,University of California San Diego,COURSE,4.6,Beginner,39000.0
Newborn Baby Care,University of Colorado System,SPECIALIZATION,4.8,Beginner,5300.0
Survey Data Collection and Analytics,"University of Maryland, College Park",SPECIALIZATION,4.3,Beginner,45000.0
Instructional Design Foundations and Applications,University of Illinois at Urbana-Champaign,COURSE,4.2,Mixed,12000.0
International Organizations Management,University of Geneva,COURSE,4.8,Beginner,20000.0
Essential Google Cloud Infrastructure: Foundation,Google Cloud,COURSE,4.7,Intermediate,83000.0
Power Electronics,University of Colorado Boulder,SPECIALIZATION,4.8,Intermediate,67000.0
Cloud Computing,University of Illinois at Urbana-Champaign,SPECIALIZATION,4.4,Intermediate,110000.0
Using Databases with Python,University of Michigan,COURSE,4.8,Mixed,220000.0
Epidemiology: The Basic Science of Public Health,The University of North Carolina at Chapel Hill,COURSE,4.6,Mixed,130000.0
Machine Learning and Reinforcement Learning in Finance,New York University,SPECIALIZATION,3.7,Intermediate,29000.0
Understanding Clinical Research: Behind the Statistics,University of Cape Town,COURSE,4.8,Mixed,78000.0
Weight Management: Beyond Balancing Calories,Emory University,COURSE,4.7,Beginner,34000.0
Good with Words: Writing and Editing,University of Michigan,SPECIALIZATION,4.6,Beginner,3800.0
Financial Technology (Fintech) Innovations,University of Michigan,SPECIALIZATION,4.7,Beginner,6500.0
"The Modern World, Part One: Global History from 1760 to 1910",University of Virginia,COURSE,4.8,Beginner,130000.0
Convolutional Neural Networks in TensorFlow,deeplearning.ai,COURSE,4.7,Intermediate,46000.0
e-Learning Ecologies: Innovative Approaches to Teaching and Learning for the Digital Age,University of Illinois at Urbana-Champaign,COURSE,4.5,Mixed,17000.0
Learn Mandarin Chinese,Shanghai Jiao Tong University,SPECIALIZATION,4.8,Beginner,39000.0
"The Sustainable Development Goals – A global, transdisciplinary vision for the future",University of Copenhagen,COURSE,4.8,Beginner,26000.0
People Analytics,University of Pennsylvania,COURSE,4.5,Mixed,84000.0
Soporte de Tecnologías de la Información de Google,Crece con Google,PROFESSIONAL CERTIFICATE,4.9,Beginner,8800.0
"Programming Foundations with JavaScript, HTML and CSS",Duke University,COURSE,4.6,Beginner,250000.0
Innovation Management,Erasmus University Rotterdam,COURSE,4.6,Beginner,40000.0
Finanzas corporativas,Universidad Nacional Autónoma de México,SPECIALIZATION,4.6,Intermediate,30000.0
Marketing con Redes Sociales,Tecnológico de Monterrey,SPECIALIZATION,4.4,Intermediate,60000.0
School Health for Children and Adolescents,University of Colorado System,SPECIALIZATION,4.8,Beginner,9100.0
Greening the Economy: Sustainable Cities,Lund University,COURSE,4.6,Beginner,56000.0
Fundraising and Development,"University of California, Davis",SPECIALIZATION,4.6,Beginner,4900.0
Creative Writing: The Craft of Plot,Wesleyan University,COURSE,4.7,Mixed,120000.0
Cybersecurity,"University of Maryland, College Park",SPECIALIZATION,4.5,Intermediate,99000.0
Healthcare Law,University of Pennsylvania,SPECIALIZATION,4.7,Intermediate,1700.0
Python and Statistics for Financial Analysis,The Hong Kong University of Science and Technology,COURSE,4.4,Intermediate,41000.0
The Arts and Science of Relationships: Understanding Human Needs,University of Toronto,COURSE,4.5,Beginner,73000.0
Data-driven Decision Making,PwC,COURSE,4.6,Beginner,120000.0
Introduction to Forensic Science,"Nanyang Technological University, Singapore",COURSE,4.9,Mixed,47000.0
"Divide and Conquer, Sorting and Searching, and Randomized Algorithms",Stanford University,COURSE,4.8,Intermediate,130000.0
What is Social?,Northwestern University,COURSE,4.6,Mixed,94000.0
Market Research,"University of California, Davis",SPECIALIZATION,4.5,Beginner,22000.0
Digital Product Management: Modern Fundamentals,University of Virginia,COURSE,4.7,Beginner,58000.0
Financing and Investing in Infrastructure,Università Bocconi,COURSE,4.8,Mixed,24000.0
Data Management for Clinical Research,Vanderbilt University,COURSE,4.7,Beginner,42000.0
Supply Chain Logistics,Rutgers the State University of New Jersey,COURSE,4.7,Beginner,66000.0
Grammar and Punctuation,"University of California, Irvine",COURSE,4.7,Mixed,430000.0
Revisão Sistemática e Meta-análise,Universidade Estadual de Campinas,COURSE,4.9,Intermediate,17000.0
Swift 5 iOS Application Developer,LearnQuest,SPECIALIZATION,4.5,Beginner,3900.0
Fundamentos de Finanzas Empresariales,Universidad de los Andes,COURSE,4.8,Beginner,110000.0
Preparing to Manage Human Resources,University of Minnesota,COURSE,4.8,Mixed,68000.0
Android App Development,Vanderbilt University,SPECIALIZATION,4.5,Beginner,120000.0
Computational Social Science,"University of California, Davis",SPECIALIZATION,4.6,Beginner,5800.0
Dog Emotion and Cognition,Duke University,COURSE,4.6,Mixed,150000.0
SAS Visual Business Analytics,SAS,PROFESSIONAL CERTIFICATE,4.6,Beginner,2600.0
Learn English: Advanced Academic Speaking and Listening,"University of California, Irvine",SPECIALIZATION,4.5,Intermediate,78000.0
Build a Modern Computer from First Principles: From Nand to Tetris (Project-Centered Course),Hebrew University of Jerusalem,COURSE,4.9,Mixed,95000.0
Financial Acumen for Non-Financial Managers,University of Pennsylvania,COURSE,4.5,Beginner,10000.0
Devenir entrepreneur du changement,Ticket for Change,COURSE,4.7,Mixed,54000.0
Operations Analytics,University of Pennsylvania,COURSE,4.7,Mixed,80000.0
Data Science Math Skills,Duke University,COURSE,4.5,Beginner,140000.0
Global Diplomacy: the United Nations in the World,SOAS University of London,COURSE,4.7,Beginner,29000.0
Infectious Disease Modelling,Imperial College London,SPECIALIZATION,5.0,Intermediate,1600.0
Software Development Lifecycle,University of Minnesota,SPECIALIZATION,4.6,Intermediate,34000.0
System Administration and IT Infrastructure Services,Google,COURSE,4.7,Beginner,62000.0
International Humanitarian Law in Theory and Practice,Kalshoven-Gieskes Forum,COURSE,4.8,Beginner,22000.0
Основы Digital Маркетинга,National Research University Higher School of Economics,SPECIALIZATION,4.5,Intermediate,19000.0
"Competencias digitales. Herramientas de ofimática (Microsoft Word, Excel, Power Point)",Universitat Autònoma de Barcelona,COURSE,4.7,Beginner,43000.0
Virtual Reality,"Goldsmiths, University of London",SPECIALIZATION,4.7,Beginner,37000.0
IBM Customer Engagement Specialist Professional Certificate,IBM,COURSE,4.8,Beginner,3300.0
Managerial Economics and Business Analysis,University of Illinois at Urbana-Champaign,SPECIALIZATION,4.7,Beginner,55000.0
Business Model Innovation,HEC Paris,COURSE,4.7,Mixed,13000.0
Getting Started with Google Sheets,Google Cloud,COURSE,4.6,Beginner,18000.0
Introduction to Calculus,The University of Sydney,COURSE,4.8,Intermediate,53000.0
A Law Student's Toolkit,Yale University,COURSE,4.7,Mixed,91000.0
Rethinking International Tax Law,Universiteit Leiden,COURSE,4.9,Mixed,36000.0
Fundamentals of Immunology: Innate Immunity and B-Cell Function,Rice University,COURSE,4.7,Intermediate,18000.0
"Open Source Software Development, Linux and Git",The Linux Foundation,SPECIALIZATION,4.4,Beginner,13000.0
Introduction to International Criminal Law,Case Western Reserve University,COURSE,4.8,Mixed,82000.0
"Excel/VBA for Creative Problem Solving, Part 1",University of Colorado Boulder,COURSE,4.8,Beginner,54000.0
Excel Skills for Business: Intermediate II,Macquarie University,COURSE,4.8,Intermediate,39000.0
Data Visualization with Python,IBM,COURSE,4.6,Intermediate,66000.0
Introduction to Classical Music,Yale University,COURSE,4.9,Mixed,150000.0
Getting Started with Google Kubernetes Engine,Google Cloud,COURSE,4.5,Intermediate,75000.0
Healthcare Marketplace,University of Minnesota,SPECIALIZATION,4.4,Beginner,36000.0
Public Policy Challenges of the 21st Century,University of Virginia,COURSE,4.6,Beginner,52000.0
Fundamentals of GIS,"University of California, Davis",COURSE,4.8,Beginner,86000.0
Epidemiology for Public Health,Imperial College London,SPECIALIZATION,4.7,Beginner,6400.0
Introduction to Artificial Intelligence (AI),IBM,COURSE,4.7,Beginner,44000.0
Introduction to User Experience Design,Georgia Institute of Technology,COURSE,4.5,Beginner,87000.0
Healing with the Arts,University of Florida,COURSE,4.6,Mixed,39000.0
Design-Led Strategy: Design thinking for business strategy and entrepreneurship,The University of Sydney,COURSE,4.6,Intermediate,19000.0
Natural Language Processing in TensorFlow,deeplearning.ai,COURSE,4.6,Intermediate,40000.0
Supply Chain Finance and Blockchain Technology,New York Institute of Finance,SPECIALIZATION,4.6,Intermediate,4900.0
Leading: Human Resource Management and Leadership,Macquarie University,SPECIALIZATION,4.8,Intermediate,16000.0
Data Mining,University of Illinois at Urbana-Champaign,SPECIALIZATION,4.4,Intermediate,140000.0
Making Architecture,IE School of Architecture & Design,COURSE,4.7,Beginner,43000.0
Essentials of Corporate Finance,The University of Melbourne,SPECIALIZATION,4.6,Intermediate,54000.0
Architecting with Google Cloud Platform 日本語版,Google Cloud,SPECIALIZATION,4.5,Intermediate,4200.0
Troubles du spectre de l'autisme : diagnostic,University of Geneva,COURSE,4.9,Intermediate,5400.0
Conflict Management,"University of California, Irvine",SPECIALIZATION,4.3,Beginner,66000.0
"Social Norms, Social Change I",University of Pennsylvania,COURSE,4.6,Beginner,78000.0
Fundamental Neuroscience for Neuroimaging,Johns Hopkins University,COURSE,4.6,Beginner,30000.0
FinTech Law and Policy,Duke University,COURSE,4.8,Beginner,9700.0
Inspiring and Motivating Individuals,University of Michigan,COURSE,4.8,Mixed,85000.0
Equine Welfare and Management,"University of California, Davis",COURSE,4.8,Beginner,7200.0
"Parallel, Concurrent, and Distributed Programming in Java",Rice University,SPECIALIZATION,4.5,Intermediate,30000.0
Essential Google Cloud Infrastructure: Core Services,Google Cloud,COURSE,4.7,Intermediate,68000.0
International Security Management,Erasmus University Rotterdam,COURSE,4.5,Beginner,2200.0
Continuous Delivery & DevOps,University of Virginia,COURSE,4.6,Beginner,26000.0
Marketing Gerencial,Universidad de Chile,COURSE,4.7,Intermediate,49000.0
COVID-19: What You Need to Know (CME Eligible),Osmosis,COURSE,4.8,Beginner,32000.0
International Business Essentials,University of London,SPECIALIZATION,4.5,Intermediate,22000.0
Art & Ideas: Teaching with Themes,The Museum of Modern Art,COURSE,4.8,Mixed,31000.0
"FinTech: Foundations, Payments, and Regulations",University of Pennsylvania,COURSE,4.7,Beginner,12000.0
Essential Epidemiologic Tools for Public Health Practice,Johns Hopkins University,COURSE,4.7,Beginner,14000.0
Success,University of Pennsylvania,COURSE,4.8,Beginner,38000.0
Beyond the Sustainable Development Goals (SDGs): Addressing Sustainability and Development,University of Michigan,COURSE,4.6,Mixed,2300.0
Climate Change and Health: From Science to Action,Yale University,SPECIALIZATION,4.6,Beginner,4800.0
Corporate Finance Essentials,IESE Business School,COURSE,4.8,Mixed,56000.0
The Teacher and Social and Emotional Learning (SEL),University of Colorado Boulder,SPECIALIZATION,4.7,Beginner,5200.0
The Addicted Brain,Emory University,COURSE,4.6,Beginner,130000.0
Engineering Health: Introduction to Yoga and Physiology,New York University,COURSE,4.8,Beginner,14000.0
Blockchain Revolution in Financial Services,INSEAD,SPECIALIZATION,4.6,Beginner,1600.0
Creative Problem Solving,University of Minnesota,COURSE,4.3,Mixed,140000.0
Microeconomics: The Power of Markets,University of Pennsylvania,COURSE,4.7,Mixed,34000.0
Understanding and Visualizing Data with Python,University of Michigan,COURSE,4.7,Beginner,30000.0
Teamwork Skills: Communicating Effectively in Groups,University of Colorado Boulder,COURSE,4.8,Beginner,49000.0
Managerial Accounting Fundamentals,University of Virginia,COURSE,4.9,Beginner,11000.0
Autodesk CAD/CAM/CAE for Mechanical Engineering,Autodesk,SPECIALIZATION,4.8,Intermediate,9200.0
Introduction to Cybersecurity Tools & Cyber Attacks,IBM,COURSE,4.5,Beginner,30000.0
Mindshift: Break Through Obstacles to Learning and Discover Your Hidden Potential,McMaster University,COURSE,4.8,Beginner,230000.0
Neurolinguistics,Saint Petersburg State University,COURSE,4.7,Mixed,41000.0
Optical Engineering,University of Colorado Boulder,SPECIALIZATION,4.2,Advanced,6200.0
Introduction to Probability and Data,Duke University,COURSE,4.7,Beginner,160000.0
Competitive Strategy and Organization Design,Ludwig-Maximilians-Universität München (LMU),SPECIALIZATION,4.7,Intermediate,350000.0
Fundamentals of Reinforcement Learning,University of Alberta,COURSE,4.8,Intermediate,22000.0
IT Security: Defense against the digital dark arts,Google,COURSE,4.8,Beginner,62000.0
Politics and Economics of International Energy,Sciences Po,COURSE,4.7,Beginner,34000.0
Business Transformation with Google Cloud,Google Cloud,COURSE,4.7,Beginner,10000.0
Art & Activity: Interactive Strategies for Engaging with Art,The Museum of Modern Art,COURSE,4.8,Mixed,79000.0
Mathematics for Data Science,National Research University Higher School of Economics,SPECIALIZATION,4.5,Beginner,12000.0
More Introduction to Financial Accounting,University of Pennsylvania,COURSE,4.9,Mixed,40000.0
Agile Meets Design Thinking,University of Virginia,COURSE,4.7,Beginner,69000.0
Supply Chain Analytics,Rutgers the State University of New Jersey,COURSE,4.7,Beginner,7900.0
Systems Biology and Biotechnology,Icahn School of Medicine at Mount Sinai,SPECIALIZATION,4.4,Intermediate,48000.0
Information​ ​Systems,University of Minnesota,SPECIALIZATION,4.7,Beginner,16000.0
Budgeting and Scheduling Projects,"University of California, Irvine",COURSE,4.7,Mixed,84000.0
Drug Commercialization,University of California San Diego,COURSE,4.7,Beginner,17000.0
AI For Medical Treatment,deeplearning.ai,COURSE,4.8,Intermediate,2400.0
Microeconomics Principles,University of Illinois at Urbana-Champaign,COURSE,4.9,Beginner,73000.0
Dino 101: Dinosaur Paleobiology,University of Alberta,COURSE,4.5,Beginner,35000.0
"Applied Plotting, Charting & Data Representation in Python",University of Michigan,COURSE,4.6,Intermediate,97000.0
Искусство ведения бизнеса,Saint Petersburg State University,SPECIALIZATION,4.6,Beginner,14000.0
Bayesian Statistics: From Concept to Data Analysis,"University of California, Santa Cruz",COURSE,4.8,Intermediate,91000.0
Ecology: Ecosystem Dynamics and Conservation,American Museum of Natural History,COURSE,4.8,Intermediate,18000.0
Introducción a Data Science: Programación Estadística con R,Universidad Nacional Autónoma de México,COURSE,4.7,Beginner,140000.0
Entrepreneurship 2: Launching your Start-Up,University of Pennsylvania,COURSE,4.8,Mixed,38000.0
Cybersecurity for Business,University of Colorado System,SPECIALIZATION,4.6,Beginner,23000.0
Big Data – Introducción al uso práctico de datos masivos,Universitat Autònoma de Barcelona,SPECIALIZATION,4.5,Beginner,8800.0
Introduction to Genetics and Evolution,Duke University,COURSE,4.8,Mixed,74000.0
Understanding Einstein: The Special Theory of Relativity,Stanford University,COURSE,4.9,Beginner,89000.0
Front-End Web UI Frameworks and Tools: Bootstrap 4,The Hong Kong University of Science and Technology,COURSE,4.8,Intermediate,89000.0
Entrepreneurship: Launching an Innovative Business,"University of Maryland, College Park",SPECIALIZATION,4.6,Beginner,69000.0
Plant Bioinformatic Methods,University of Toronto,SPECIALIZATION,4.7,Beginner,83000.0
Spanish Vocabulary: Meeting People,"University of California, Davis",COURSE,4.6,Beginner,71000.0
Model Thinking,University of Michigan,COURSE,4.8,Mixed,130000.0
Social and Economic Networks:  Models and Analysis,Stanford University,COURSE,4.8,Advanced,42000.0
The Art of Music Production,Berklee College of Music,COURSE,4.8,Intermediate,47000.0
Anatomy: Musculoskeletal and Integumentary Systems,University of Michigan,COURSE,4.8,Beginner,20000.0
Feminism and Social Justice,"University of California, Santa Cruz",COURSE,4.8,Beginner,18000.0
Object-Oriented Data Structures in C++,University of Illinois at Urbana-Champaign,COURSE,4.7,Intermediate,21000.0
Introduction to Environmental Law and Policy,The University of North Carolina at Chapel Hill,COURSE,4.8,Mixed,34000.0
Aprender,Universidad Nacional Autónoma de México,COURSE,4.8,Mixed,200000.0
Graphic Design Elements for Non-Designers,University of Colorado Boulder,SPECIALIZATION,4.7,Beginner,10000.0
Anticorrupción: Introducción a conceptos y perspectiva práctica,Universidad Nacional Autónoma de México,COURSE,4.8,Beginner,11000.0
Solar Energy Basics,The State University of New York,COURSE,4.8,Beginner,17000.0
L'excellence opérationnelle en pratique,ESSEC Business School,COURSE,4.7,Beginner,8000.0
Miracles of Human Language: An Introduction to Linguistics,Universiteit Leiden,COURSE,4.7,Beginner,120000.0
Java Programming: Solving Problems with Software,Duke University,COURSE,4.6,Beginner,160000.0
De-Mystifying Mindfulness,Universiteit Leiden,COURSE,4.8,Beginner,150000.0
Fundamentals of Visualization with Tableau,"University of California, Davis",COURSE,4.5,Beginner,81000.0
Foundations of Public Health Practice,Imperial College London,SPECIALIZATION,4.8,Beginner,3200.0
Design and Make Infographics (Project-Centered Course),Michigan State University,COURSE,4.7,Mixed,97000.0
Modernizing Data Lakes and Data Warehouses with GCP,Google Cloud,COURSE,4.7,Intermediate,9100.0
The Science of Training Young Athletes,University of Florida,COURSE,4.9,Beginner,13000.0
"Cameras, Exposure, and Photography",Michigan State University,COURSE,4.7,Mixed,130000.0
Palo Alto Networks Cybersecurity,Palo Alto Networks,SPECIALIZATION,4.6,Beginner,9100.0
Epidemics - the Dynamics of Infectious Diseases,The Pennsylvania State University,COURSE,4.8,Mixed,45000.0
Mathematics for Machine Learning: Multivariate Calculus,Imperial College London,COURSE,4.7,Beginner,51000.0
"Transmedia Storytelling: Narrative worlds, emerging technologies, and global audiences",UNSW Sydney (The University of New South Wales),COURSE,4.8,Mixed,45000.0
Tricky American English Pronunciation,"University of California, Irvine",COURSE,4.7,Beginner,110000.0
FinTech: Finance Industry Transformation and Regulation,The Hong Kong University of Science and Technology,SPECIALIZATION,4.6,Beginner,13000.0
Renewable Energy and Green Building Entrepreneurship,Duke University,COURSE,4.7,Beginner,24000.0
Introduction to Operations Management,University of Pennsylvania,COURSE,4.5,Mixed,87000.0
The Power of Microeconomics: Economic Principles in the Real World,"University of California, Irvine",COURSE,4.7,Mixed,120000.0
Nutrition and Lifestyle in Pregnancy,Ludwig-Maximilians-Universität München (LMU),COURSE,4.8,Intermediate,35000.0
"Capstone: Retrieving, Processing, and Visualizing Data with Python",University of Michigan,COURSE,4.6,Mixed,82000.0
Information Visualization,New York University,SPECIALIZATION,4.6,Beginner,10000.0
Getting Started with SAS Programming,SAS,COURSE,4.9,Beginner,22000.0
Business Writing,University of Colorado Boulder,COURSE,4.8,Beginner,48000.0
Get Interactive: Practical Teaching with Technology,Bloomsbury Learning Exchange,COURSE,4.7,Beginner,14000.0
Les Fondamentaux de la Négociation,ESSEC Business School,COURSE,4.7,Beginner,10000.0
Introduction to Personal Branding,University of Virginia,COURSE,4.4,Beginner,140000.0
What is Compliance?,University of Pennsylvania,COURSE,4.8,Mixed,6200.0
Costos para los Negocios,Universidad de Chile,COURSE,4.8,Intermediate,43000.0
Разработка интерфейсов: вёрстка и JavaScript,E-Learning Development Fund,SPECIALIZATION,4.5,Intermediate,30000.0
Kotlin for Java Developers,JetBrains,COURSE,4.7,Intermediate,37000.0
English for Research Publication Purposes,Moscow Institute of Physics and Technology,SPECIALIZATION,4.6,Intermediate,42000.0
Introduction to Data Analysis Using Excel,Rice University,COURSE,4.7,Mixed,99000.0
Information Security: Context and Introduction,"Royal Holloway, University of London",COURSE,4.6,Beginner,32000.0
Mastering Data Analysis in Excel,Duke University,COURSE,4.2,Mixed,280000.0
Aprendiendo a aprender: Poderosas herramientas mentales con las que podrás dominar temas difíciles (Learning How to Learn),University of California San Diego,COURSE,4.9,Beginner,180000.0
Finanzas personales,Universidad Nacional Autónoma de México,COURSE,4.8,Mixed,310000.0
Recommender Systems,University of Minnesota,SPECIALIZATION,4.3,Intermediate,29000.0
How Things Work: An Introduction to Physics,University of Virginia,COURSE,4.8,Intermediate,170000.0
"Python Functions, Files, and Dictionaries",University of Michigan,COURSE,4.8,Beginner,26000.0
Managing Project Risks and Changes,"University of California, Irvine",COURSE,4.7,Mixed,71000.0
Introduction to Typography,California Institute of the Arts,COURSE,4.8,Beginner,72000.0
Managing Social and Human Capital,University of Pennsylvania,COURSE,4.5,Beginner,27000.0
Teach English Now! Foundational Principles,Arizona State University,COURSE,4.9,Mixed,81000.0
Engineering Project Management: Initiating and Planning,Rice University,COURSE,4.7,Beginner,23000.0
Algorithmic Toolbox,University of California San Diego,COURSE,4.7,Intermediate,220000.0
Implementación del Marketing Mix,IE Business School,SPECIALIZATION,4.7,Beginner,23000.0
Mastering Software Development in R,Johns Hopkins University,SPECIALIZATION,4.3,Beginner,52000.0
Elastic Google Cloud Infrastructure: Scaling and Automation,Google Cloud,COURSE,4.7,Intermediate,57000.0
Biology Meets Programming: Bioinformatics for Beginners,University of California San Diego,COURSE,4.4,Beginner,88000.0
Customer Segmentation and Prospecting,Northwestern University,COURSE,4.7,Beginner,18000.0
Geopolítica y gobernanza global: riesgos y oportunidades,ESADE Business and Law School,COURSE,4.8,Mixed,34000.0
Getting Started with AWS Machine Learning,Amazon Web Services,COURSE,4.5,Intermediate,73000.0
Foundations of Marketing Analytics,Emory University,SPECIALIZATION,4.2,Intermediate,27000.0
"Epidemics, Pandemics and Outbreaks",University of Pittsburgh,COURSE,4.7,Mixed,23000.0
IBM AI Enterprise Workflow,IBM,SPECIALIZATION,4.4,Advanced,3500.0
Industrial IoT on Google Cloud Platform,Google Cloud,COURSE,4.5,Beginner,34000.0
Architecting with Google Kubernetes Engine 日本語版,Google Cloud,SPECIALIZATION,4.5,Beginner,3900.0
Social Policy for Social Services & Health Practitioners,Columbia University,SPECIALIZATION,4.8,Beginner,4200.0
Mastering Final Cut Pro,LearnQuest,COURSE,4.6,Beginner,8400.0
The Oral Cavity: Portal to Health and Disease,University of Pennsylvania,COURSE,4.9,Intermediate,9400.0
Leadership in 21st Century Organizations,Copenhagen Business School,COURSE,4.7,Mixed,34000.0
Global Environmental Management,Technical University of Denmark (DTU),COURSE,4.6,Intermediate,22000.0
International Law in Action: A Guide to the International Courts and Tribunals in The Hague,Universiteit Leiden,COURSE,4.8,Mixed,36000.0
Sports and Society,Duke University,COURSE,4.8,Mixed,16000.0
Fundamentals of Engineering Exam Review,Georgia Institute of Technology,COURSE,4.7,Mixed,49000.0
Interviewing and Resume Writing in English,"University of Maryland, College Park",SPECIALIZATION,4.6,Intermediate,66000.0
Sustainable Tourism – promoting environmental public health,University of Copenhagen,COURSE,4.6,Beginner,9400.0
Think Again I: How to Understand Arguments,Duke University,COURSE,4.6,Beginner,200000.0
Machine Learning for All,University of London,COURSE,4.6,Beginner,19000.0
Julia Scientific Programming,University of Cape Town,COURSE,4.5,Beginner,22000.0
The Horse Course: Introduction to Basic Care and Management,University of Florida,COURSE,4.9,Mixed,29000.0
Summary Statistics in Public Health,Johns Hopkins University,COURSE,4.8,Beginner,11000.0
Version Control with Git,Atlassian,COURSE,4.8,Mixed,40000.0
Autodesk Certified Professional: Revit for Architectural Design Exam Prep,Autodesk,COURSE,4.7,Advanced,9700.0
Excel Skills for Business: Advanced,Macquarie University,COURSE,4.7,Intermediate,39000.0
Strategic Sales Management,Fundação Instituto de Administração,SPECIALIZATION,4.5,Intermediate,9200.0
International migrations: a global issue,Sciences Po,COURSE,4.6,Beginner,11000.0
Introduction to Cloud Computing,IBM,COURSE,4.6,Beginner,2600.0
UX Design Fundamentals,California Institute of the Arts,COURSE,4.8,Beginner,25000.0
Healthcare Organization Operations,Rutgers the State University of New Jersey,SPECIALIZATION,4.6,Beginner,5500.0
Municipal Solid Waste Management in Developing Countries,École Polytechnique Fédérale de Lausanne,COURSE,4.8,Intermediate,59000.0
"English for Science, Technology, Engineering, and Mathematics",University of Pennsylvania,COURSE,4.8,Beginner,110000.0
Democracia y decisiones públicas. Introducción al análisis de políticas públicas,Universitat Autònoma de Barcelona,COURSE,4.8,Beginner,44000.0
Songwriting: Writing the Lyrics,Berklee College of Music,COURSE,4.8,Beginner,68000.0
Sales Operations/Management,West Virginia University,SPECIALIZATION,4.4,Beginner,5600.0
Bayesian Statistics: Techniques and Models,"University of California, Santa Cruz",COURSE,4.8,Intermediate,29000.0
Using Python to Interact with the Operating System,Google,COURSE,4.7,Beginner,19000.0
Accounting Analytics,University of Pennsylvania,COURSE,4.5,Mixed,80000.0
Data Analytics for Lean Six Sigma,University of Amsterdam,COURSE,4.8,Beginner,24000.0
Positive Psychology: Applications and Interventions,University of Pennsylvania,COURSE,4.8,Beginner,23000.0
Éxito Profesional,"University of California, Irvine",SPECIALIZATION,4.5,Beginner,69000.0
Introduction to Blockchain Technologies,INSEAD,COURSE,4.7,Beginner,16000.0
How to Start Your Own Business,Michigan State University,SPECIALIZATION,4.1,Beginner,34000.0
Building Scalable Java Microservices with Spring Boot and Spring Cloud,Google Cloud,COURSE,4.3,Intermediate,24000.0
Business English,Arizona State University,SPECIALIZATION,4.7,Intermediate,38000.0
Access Controls,(ISC)²,COURSE,4.6,Beginner,2900.0
English Composition I,Duke University,COURSE,4.6,Beginner,200000.0
User Interface Design,University of Minnesota,SPECIALIZATION,4.6,Intermediate,43000.0
International Marketing & Cross Industry Growth,Yonsei University,SPECIALIZATION,4.6,Beginner,26000.0
The Truth About Cats and Dogs,The University of Edinburgh,COURSE,4.7,Mixed,33000.0
Introduction to Portfolio Construction and Analysis with Python,EDHEC Business School,COURSE,4.8,Mixed,11000.0
Unity XR: How to Build AR and VR Apps,Unity,SPECIALIZATION,4.2,Beginner,12000.0
Write A Feature Length Screenplay For Film Or Television,Michigan State University,COURSE,4.9,Beginner,12000.0
